step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
5110,13.9904,0.298294,0.995361,0.152102,0.069813,1.000000,14.297554,true
5183,14.1903,0.299778,0.995248,0.150007,0.070254,1.000000,14.506347,true
5256,14.3901,0.301262,0.995134,0.147731,0.070670,1.000000,14.715269,true
5329,14.5900,0.302751,0.995019,0.145457,0.071088,1.000000,14.924321,true
5402,14.7899,0.304243,0.994903,0.143184,0.071510,1.000000,15.133504,true
5475,14.9897,0.305738,0.994785,0.140912,0.071933,1.000000,15.342817,true
5548,15.1896,0.307235,0.994666,0.138641,0.072359,1.000000,15.552263,true
5621,15.3895,0.308735,0.994546,0.136371,0.072787,1.000000,15.761842,true
5694,15.5893,0.310240,0.994424,0.134103,0.073218,1.000000,15.971551,true
5767,15.7892,0.311747,0.994301,0.131836,0.073651,1.000000,16.181379,true
5840,15.9890,0.313258,0.994177,0.129570,0.074087,1.000000,16.391348,true
5913,16.1889,0.314770,0.994052,0.127306,0.074525,1.000000,16.601456,true
5986,16.3888,0.316287,0.993925,0.125042,0.074965,1.000000,16.811695,true
6059,16.5886,0.317807,0.993797,0.122780,0.075408,1.000000,17.022066,true
6132,16.7885,0.319330,0.993668,0.120520,0.075854,1.000000,17.232569,true
6205,16.9884,0.320856,0.993538,0.118260,0.076302,1.000000,17.443203,true
6278,17.1882,0.322386,0.993406,0.116002,0.076752,1.000000,17.653969,true
6351,17.3881,0.323919,0.993273,0.113745,0.077205,1.000000,17.864866,true
6424,17.5880,0.325455,0.993139,0.111489,0.077661,1.000000,18.075897,true
6497,17.7878,0.326993,0.993003,0.109235,0.078118,1.000000,18.287060,true
6570,17.9877,0.328537,0.992866,0.106982,0.078579,1.000000,18.498356,true
6643,18.1875,0.330083,0.992728,0.104730,0.079042,1.000000,18.709785,true
6716,18.3874,0.331632,0.992589,0.102479,0.079508,1.000000,18.921349,true
6789,18.5873,0.333185,0.992448,0.100230,0.079976,1.000000,19.133043,true
6862,18.7871,0.334742,0.992306,0.097982,0.080447,1.000000,19.344872,true
6935,18.9870,0.336302,0.992162,0.095736,0.080920,1.000000,19.556833,true
7008,19.1869,0.337864,0.992018,0.093491,0.081396,1.000000,19.768930,true
7081,19.3867,0.339431,0.991872,0.091247,0.081875,1.000000,19.981161,true
7154,19.5866,0.341002,0.991724,0.089004,0.082356,1.000000,20.193525,true
7227,19.7864,0.342575,0.991575,0.086763,0.082840,1.000000,20.406025,true
7300,19.9863,0.344153,0.991425,0.084523,0.083327,1.000000,20.618658,true
7373,20.1862,0.345734,0.991274,0.082285,0.083816,1.000000,20.831427,true
7446,20.3860,0.347319,0.991121,0.080048,0.084308,1.000000,21.044331,true
7519,20.5859,0.348907,0.990967,0.077812,0.084802,1.000000,21.257368,true
7592,20.7858,0.350499,0.990812,0.075578,0.085300,1.000000,21.470541,true
7665,20.9856,0.352095,0.990655,0.073345,0.085800,1.000000,21.683851,true
7738,21.1855,0.353695,0.990497,0.071113,0.086303,1.000000,21.897301,true
7811,21.3854,0.355297,0.990337,0.068883,0.086808,1.000000,22.110886,true
7884,21.5852,0.356905,0.990176,0.066654,0.087317,1.000000,22.324606,true
7957,21.7851,0.358516,0.990014,0.064427,0.087828,1.000000,22.538462,true
8030,21.9849,0.360131,0.989850,0.062201,0.088342,1.000000,22.752455,true
8103,22.1848,0.361750,0.989685,0.059977,0.088859,1.000000,22.966583,true
8176,22.3847,0.363373,0.989519,0.057754,0.089379,1.000000,23.180849,true
8249,22.5845,0.365000,0.989351,0.055532,0.089902,1.000000,23.395252,true
8322,22.7844,0.366631,0.989182,0.053312,0.090428,1.000000,23.609793,true
8395,22.9843,0.368266,0.989011,0.051094,0.090956,1.000000,23.824471,true
8468,23.1841,0.369904,0.988839,0.048876,0.091488,1.000000,24.039286,true
8541,23.3840,0.371548,0.988665,0.046661,0.092023,1.000000,24.254238,true
8614,23.5838,0.373195,0.988491,0.044447,0.092560,1.000000,24.469330,true
