step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
24966,68.3532,0.897032,0.900657,0.649332,0.555332,0.871037,76.855606,true
25039,68.5530,0.899364,0.899998,0.651594,0.558051,0.867738,77.111832,true
25112,68.7529,0.901678,0.899338,0.653860,0.560776,0.864434,77.368584,true
25185,68.9528,0.903974,0.898674,0.656128,0.563507,0.861128,77.625336,true
25258,69.1526,0.906250,0.898009,0.658399,0.566245,0.857816,77.882416,true
25331,69.3525,0.908507,0.897341,0.660674,0.568988,0.854502,78.139725,true
25404,69.5524,0.910127,0.896670,0.662825,0.571255,0.851183,78.397034,true
25477,69.7522,0.911679,0.895998,0.664966,0.573481,0.847861,78.654846,true
25550,69.9521,0.913220,0.895323,0.667110,0.575712,0.844566,78.912712,true
25623,70.1520,0.914751,0.894645,0.669255,0.577947,0.843456,79.170578,true
25696,70.3518,0.916271,0.893966,0.671404,0.580187,0.842346,79.428879,true
25769,70.5517,0.917780,0.893284,0.673555,0.582431,0.841233,79.687302,true
25842,70.7515,0.919278,0.892600,0.675709,0.584679,0.840119,79.945724,true
25915,70.9514,0.920765,0.891913,0.677865,0.586932,0.839005,80.204521,true
25988,71.1513,0.922241,0.891224,0.680025,0.589189,0.837889,80.463501,true
26061,71.3511,0.923705,0.890533,0.682186,0.591451,0.836770,80.722481,true
26134,71.5510,0.925158,0.889840,0.684350,0.593717,0.835652,80.981781,true
26207,71.7509,0.926599,0.889145,0.686517,0.595987,0.834534,81.241318,true
26280,71.9507,0.928029,0.888447,0.688686,0.598262,0.833411,81.500854,true
26353,72.1506,0.929446,0.887747,0.690858,0.600541,0.832288,81.760658,true
26426,72.3504,0.930852,0.887044,0.693034,0.602825,0.831166,82.020752,true
26499,72.5503,0.932246,0.886339,0.695211,0.605113,0.830041,82.280846,true
26572,72.7502,0.933627,0.885632,0.697389,0.607406,0.828914,82.540939,true
26645,72.9500,0.934997,0.884923,0.699570,0.609702,0.827787,82.801033,true
26718,73.1499,0.936353,0.884211,0.701752,0.612002,0.826659,83.061127,true
26791,73.3498,0.937698,0.883497,0.703936,0.614307,0.825528,83.321220,true
26864,73.5496,0.939029,0.882781,0.705961,0.616592,0.824396,83.581314,true
26937,73.7495,0.940348,0.882063,0.707837,0.618858,0.823265,83.841408,true
27010,73.9493,0.941654,0.881342,0.709714,0.621129,0.822131,84.101501,true
27083,74.1492,0.942948,0.880620,0.711593,0.623403,0.820995,84.361595,true
27156,74.3491,0.944228,0.879895,0.713474,0.625681,0.819860,84.621689,true
27229,74.5489,0.945495,0.879168,0.715356,0.627963,0.818724,84.881783,true
27302,74.7488,0.946748,0.878440,0.717240,0.630250,0.817584,85.141876,true
27375,74.9487,0.947989,0.877709,0.719125,0.632539,0.816444,85.401970,true
27448,75.1485,0.949216,0.876976,0.721012,0.634833,0.815304,85.662064,true
27521,75.3484,0.950429,0.876241,0.722901,0.637130,0.814162,85.922157,true
27594,75.5483,0.951629,0.875504,0.724792,0.639432,0.813018,86.182251,true
27667,75.7481,0.952815,0.874765,0.726684,0.641738,0.811874,86.442345,true
27740,75.9480,0.953988,0.874023,0.728578,0.644048,0.810729,86.702438,true
27813,76.1478,0.955147,0.873280,0.730474,0.646362,0.809581,86.962532,true
27886,76.3477,0.956291,0.872535,0.732371,0.648679,0.808433,87.222626,true
27959,76.5476,0.957422,0.871787,0.734270,0.651000,0.807284,87.482719,true
28032,76.7474,0.958538,0.871038,0.736171,0.653325,0.806134,87.742813,true
28105,76.9473,0.959641,0.870286,0.738073,0.655654,0.804981,88.002907,true
28178,77.1472,0.960729,0.869533,0.739977,0.657987,0.803828,88.263000,true
28251,77.3470,0.961803,0.868777,0.741883,0.660323,0.802675,88.523094,true
28324,77.5469,0.962863,0.868019,0.743790,0.662664,0.801519,88.783188,true
28397,77.7467,0.963908,0.867259,0.745699,0.665009,0.800362,89.043282,true
28470,77.9466,0.964938,0.866497,0.747610,0.667358,0.799205,89.303375,true
28543,78.1465,0.965954,0.865733,0.749523,0.669710,0.798047,89.563469,true
28616,78.3463,0.966955,0.864967,0.751437,0.672066,0.796885,89.823563,true
28689,78.5462,0.967942,0.864199,0.753353,0.674426,0.795723,90.083656,true
28762,78.7461,0.968914,0.863429,0.755271,0.676790,0.794562,90.343750,true
28835,78.9459,0.969871,0.862657,0.757190,0.679158,0.793397,90.603844,true
28908,78.9733,0.970001,0.862551,0.757453,0.679482,0.793238,90.639473,false
